4798001,0
31814,40.283203125
107337,40.22216796875
190129,47.7294921875
264757,43.39599609375
438394,40.771484375
816245,44.189453125
1158075,40.0390625
1400419,41.9921875
1521513,49.1943359375
1634786,44.7998046875
1873678,44.43359375
1873791,39.97802734375
1873966,40.46630859375
2288714,39.61181640625
2372954,45.166015625
2462432,43.5791015625
2462599,46.32568359375
2555465,41.44287109375
2728166,39.48974609375
2815536,39.794921875
2815876,44.86083984375
3176963,41.015625
3177022,39.61181640625
3326002,44.37255859375
3597170,43.76220703125
4206344,44.25048828125
4206510,42.54150390625
4206753,42.3583984375
4494319,41.32080078125
4671365,47.8515625
