4798001,0
111372,62.6220703125
156894,33.63037109375
208895,33.63037109375
405750,33.99658203125
573021,37.2314453125
680438,33.50830078125
797597,33.63037109375
868035,34.48486328125
903637,33.99658203125
1057438,33.5693359375
1122234,34.0576171875
1129901,34.11865234375
1202406,34.3017578125
1392703,33.75244140625
1972213,69.9462890625
1978567,34.423828125
2070423,33.0810546875
2191890,34.423828125
2316391,33.5693359375
2383495,34.48486328125
2820989,33.14208984375
2965646,35.94970703125
3283647,39.12353515625
3291440,34.36279296875
3582407,40.71044921875
3763305,34.24072265625
3930099,34.7900390625
4484194,33.14208984375
